Numer_zgloszenia	Numer_komputera	Czas_awarii	Priorytet
734	272	2015-04-20 01:51:45	4
735	406	2015-04-20 05:49:24	1
736	30	2015-04-20 08:18:24	9
737	318	2015-04-20 10:49:40	10
738	462	2015-04-20 13:26:05	2
739	102	2015-04-20 13:52:36	8
740	226	2015-04-20 20:49:08	5
741	273	2015-04-20 22:46:48	3
742	107	2015-04-21 14:19:30	7
743	318	2015-04-21 17:31:05	3
744	69	2015-04-21 22:56:01	7
745	317	2015-04-22 00:03:43	6
746	11	2015-04-22 01:27:02	6
747	142	2015-04-22 12:56:37	9
748	367	2015-04-22 13:27:11	6
749	41	2015-04-22 16:03:32	2
750	208	2015-04-22 21:56:03	1
751	16	2015-04-23 02:58:33	8
752	101	2015-04-23 09:43:32	4
753	165	2015-04-23 11:53:06	9
754	224	2015-04-23 16:05:33	10
755	60	2015-04-23 17:40:40	9
756	75	2015-04-23 23:27:16	5
757	52	2015-04-24 00:50:03	8
758	341	2015-04-24 08:11:03	8
759	483	2015-04-24 08:40:05	5
760	225	2015-04-24 09:37:41	3
761	445	2015-04-24 22:57:27	7
762	78	2015-04-24 23:39:55	10
763	29	2015-04-25 05:07:00	7
764	461	2015-04-25 06:46:46	3
765	367	2015-04-25 07:22:17	6
766	413	2015-04-25 09:51:15	10
767	459	2015-04-25 10:06:18	3
768	231	2015-04-25 12:26:06	8
769	184	2015-04-25 13:46:10	6
770	398	2015-04-25 15:06:46	8
771	235	2015-04-25 17:10:47	2
772	97	2015-04-26 04:41:07	6
773	171	2015-04-26 09:35:59	3
774	347	2015-04-26 09:55:46	7
775	90	2015-04-26 10:19:14	2
776	32	2015-04-26 18:52:52	7
777	325	2015-04-26 20:41:24	5
778	389	2015-04-26 21:03:56	7
779	443	2015-04-26 22:08:20	9
780	465	2015-04-26 22:37:24	9
781	159	2015-04-27 00:04:54	6
782	77	2015-04-27 03:21:12	1
783	93	2015-04-27 03:29:52	9
784	372	2015-04-27 04:05:50	5
785	316	2015-04-27 05:16:08	5
786	83	2015-04-27 06:23:17	9
787	279	2015-04-27 07:58:56	4
788	201	2015-04-27 08:47:18	4
789	434	2015-04-27 10:29:49	3
790	348	2015-04-27 21:10:37	9
791	139	2015-04-28 08:41:29	9
792	165	2015-04-28 11:56:02	10
793	202	2015-04-28 12:56:09	1
794	43	2015-04-28 15:01:01	6
795	177	2015-04-28 21:56:09	8
796	42	2015-04-28 23:13:56	10
797	143	2015-04-29 00:02:30	8
798	102	2015-04-29 01:16:00	9
799	104	2015-04-29 06:43:42	1
800	219	2015-04-29 07:12:36	10
801	175	2015-04-29 07:28:25	5
802	459	2015-04-29 16:32:04	7
803	425	2015-04-29 18:16:23	9
804	84	2015-04-30 00:39:04	2
805	369	2015-04-30 03:14:01	4
806	341	2015-04-30 03:50:19	8
807	413	2015-04-30 05:57:47	6
808	112	2015-04-30 14:52:37	10
809	192	2015-04-30 21:40:15	2
810	141	2015-05-01 01:26:51	1
811	97	2015-05-01 01:36:25	3
812	303	2015-05-01 02:01:42	2
813	78	2015-05-01 05:15:10	3
814	435	2015-05-01 06:07:25	3
815	18	2015-05-01 07:27:55	4
816	106	2015-05-01 09:15:43	10
817	245	2015-05-01 10:42:53	9
818	28	2015-05-01 16:16:07	4
819	440	2015-05-01 18:39:43	4
820	355	2015-05-01 23:04:40	7
821	316	2015-05-02 01:13:15	5
822	327	2015-05-02 06:12:35	10
823	316	2015-05-02 07:43:03	5
824	360	2015-05-02 17:34:17	6
825	47	2015-05-02 20:06:42	8
826	413	2015-05-03 02:04:12	9
827	88	2015-05-03 14:30:23	10
828	383	2015-05-03 18:05:32	2
829	29	2015-05-03 21:31:03	4
830	321	2015-05-03 21:34:52	6
831	187	2015-05-04 04:23:11	1
832	156	2015-05-04 04:51:11	5
833	47	2015-05-04 08:23:36	7
834	7	2015-05-04 08:33:06	9
835	332	2015-05-04 08:34:42	5
836	60	2015-05-04 09:04:43	3
837	103	2015-05-04 10:27:09	10
838	470	2015-05-04 12:11:19	9
839	452	2015-05-04 12:29:05	8
840	165	2015-05-05 05:01:49	6
841	84	2015-05-05 06:54:43	4
842	311	2015-05-05 17:56:59	1
843	373	2015-05-06 05:57:20	2
844	401	2015-05-06 06:40:33	5
845	494	2015-05-06 07:53:14	7
846	486	2015-05-06 10:45:44	5
847	209	2015-05-06 13:26:52	10
848	167	2015-05-06 16:59:46	4
849	403	2015-05-06 22:20:49	6
850	217	2015-05-07 04:53:13	10
851	209	2015-05-07 06:21:27	3
852	190	2015-05-07 06:31:47	9
853	329	2015-05-07 11:37:34	10
854	285	2015-05-07 12:29:51	1
855	229	2015-05-07 14:15:21	4
856	71	2015-05-07 15:42:44	3
857	2	2015-05-07 16:54:37	9
858	336	2015-05-07 18:37:12	8
859	401	2015-05-07 21:12:47	1
860	247	2015-05-07 22:52:31	8
861	433	2015-05-07 23:10:06	1
862	141	2015-05-08 03:22:32	7
863	142	2015-05-08 05:02:44	3
864	387	2015-05-08 06:24:37	4
865	142	2015-05-08 07:12:46	4
866	388	2015-05-08 09:21:53	3
867	132	2015-05-08 14:14:56	9
868	60	2015-05-08 21:04:46	2
869	69	2015-05-08 22:41:51	1
870	230	2015-05-09 00:56:17	7
871	274	2015-05-09 03:38:49	2
872	391	2015-05-09 07:40:50	10
873	436	2015-05-09 09:22:06	1
874	417	2015-05-09 15:57:38	6
875	261	2015-05-09 16:36:52	5
876	329	2015-05-09 22:28:33	10
877	400	2015-05-10 00:56:50	5
878	488	2015-05-10 03:59:27	6
879	232	2015-05-10 07:47:04	9
880	183	2015-05-10 11:47:19	7
881	81	2015-05-10 13:26:00	2
882	40	2015-05-10 18:25:24	8
883	358	2015-05-10 22:24:33	2
884	22	2015-05-11 02:19:09	6
885	106	2015-05-11 04:43:35	9
886	312	2015-05-11 05:29:59	2
887	493	2015-05-11 06:02:23	7
888	392	2015-05-11 10:07:22	7
889	447	2015-05-11 10:53:32	2
890	306	2015-05-11 13:03:35	1
891	391	2015-05-11 17:15:35	4
892	155	2015-05-11 19:17:00	8
893	176	2015-05-12 01:19:42	3
894	157	2015-05-12 06:14:49	10
895	403	2015-05-12 06:32:06	10
896	197	2015-05-12 09:55:27	6
897	474	2015-05-12 20:29:41	5
898	485	2015-05-12 22:53:31	2
899	301	2015-05-13 02:48:10	2
900	341	2015-05-13 07:33:34	9
901	166	2015-05-13 08:51:16	8
902	141	2015-05-13 09:19:36	7
903	302	2015-05-13 09:19:55	10
904	37	2015-05-13 14:08:08	5
905	212	2015-05-13 14:36:07	8
906	52	2015-05-13 19:08:05	2
907	408	2015-05-14 07:36:06	10
908	109	2015-05-14 09:28:16	6
909	452	2015-05-14 11:10:38	6
910	32	2015-05-14 11:53:56	7
911	36	2015-05-14 12:00:50	9
912	115	2015-05-14 12:28:11	2
913	276	2015-05-14 13:10:56	4
914	93	2015-05-14 14:12:10	9
915	210	2015-05-15 03:22:16	6
916	344	2015-05-15 06:08:59	1
917	451	2015-05-15 08:44:27	2
918	364	2015-05-15 09:10:37	4
919	95	2015-05-15 09:32:44	8
920	356	2015-05-15 13:53:25	8
921	451	2015-05-15 15:25:28	10
922	434	2015-05-15 17:11:44	8
923	332	2015-05-15 18:22:17	2
924	272	2015-05-15 18:25:43	6
925	454	2015-05-15 19:12:47	6
926	241	2015-05-16 08:52:35	1
927	48	2015-05-16 10:19:45	5
928	291	2015-05-16 14:10:43	9
929	106	2015-05-16 19:16:58	7
930	385	2015-05-17 05:45:18	3
931	333	2015-05-17 06:07:01	7
932	434	2015-05-17 10:51:39	7
933	253	2015-05-17 12:07:42	5
934	97	2015-05-17 13:52:03	9
935	172	2015-05-18 01:19:59	1
936	91	2015-05-18 02:01:28	4
937	42	2015-05-18 17:01:18	3
938	362	2015-05-18 19:54:03	8
939	72	2015-05-18 22:03:03	4
940	136	2015-05-19 00:43:59	7
941	237	2015-05-19 06:05:52	5
942	486	2015-05-19 08:10:00	2
943	37	2015-05-19 11:19:48	6
944	323	2015-05-19 11:23:38	5
945	456	2015-05-19 14:02:29	9
946	157	2015-05-19 22:19:58	6
947	460	2015-05-19 22:41:08	8
948	12	2015-05-19 23:26:46	8
949	344	2015-05-19 23:55:51	7
950	473	2015-05-20 01:49:29	9
951	489	2015-05-20 03:18:46	5
952	61	2015-05-20 05:36:06	7
953	425	2015-05-20 15:27:49	9
954	299	2015-05-20 21:24:29	6
955	84	2015-05-20 22:36:46	3
956	420	2015-05-20 22:42:35	8
957	352	2015-05-21 08:40:13	6
958	349	2015-05-21 18:19:20	3
959	432	2015-05-22 02:03:29	2
960	231	2015-05-22 06:28:37	2
961	378	2015-05-22 13:14:16	7
962	226	2015-05-22 15:55:05	2
963	96	2015-05-22 16:34:02	10
964	250	2015-05-22 18:00:23	9
965	487	2015-05-22 18:52:19	5
966	428	2015-05-23 02:00:11	9
967	413	2015-05-23 11:01:09	1
968	56	2015-05-23 11:59:45	6
969	247	2015-05-23 16:50:46	3
970	312	2015-05-23 22:34:01	3
971	131	2015-05-23 23:00:18	6
972	74	2015-05-24 04:06:22	3
973	112	2015-05-24 12:55:00	7
974	473	2015-05-24 16:56:53	6
975	435	2015-05-24 19:36:36	10
976	361	2015-05-24 23:42:50	10
977	372	2015-05-25 03:12:34	4
978	496	2015-05-25 07:56:42	6
979	240	2015-05-25 08:41:22	4
980	380	2015-05-25 12:39:20	2
981	443	2015-05-25 13:27:05	10
982	232	2015-05-25 13:39:02	3
983	63	2015-05-25 15:43:04	10
984	202	2015-05-25 18:02:40	10
985	411	2015-05-25 18:56:25	10
986	427	2015-05-25 21:54:06	4
987	391	2015-05-25 22:50:02	5
988	360	2015-05-26 00:40:00	2
989	19	2015-05-26 06:31:44	1
990	142	2015-05-26 07:35:27	8
991	93	2015-05-26 10:38:21	2
992	388	2015-05-26 11:38:17	7
993	483	2015-05-26 16:29:09	8
994	78	2015-05-27 00:16:37	3
995	74	2015-05-27 08:55:15	1
996	120	2015-05-27 10:12:56	9
997	494	2015-05-27 10:46:49	10
998	176	2015-05-27 11:28:30	1
999	247	2015-05-28 00:00:21	5
1000	228	2015-05-28 05:03:18	5
1001	465	2015-05-28 10:06:19	1
1002	289	2015-05-28 12:12:36	1
1003	12	2015-05-28 13:29:36	6
1004	244	2015-05-28 15:25:33	10
1005	358	2015-05-28 19:10:11	6
1006	386	2015-05-28 19:35:01	1
1007	32	2015-05-29 01:00:36	1
1008	486	2015-05-29 02:03:33	5
1009	1	2015-05-29 05:51:44	4
1010	210	2015-05-29 05:59:04	10
1011	402	2015-05-29 07:12:13	5
1012	380	2015-05-29 08:38:24	7
1013	253	2015-05-29 09:29:23	7
1014	180	2015-05-29 15:15:03	1
1015	464	2015-05-29 21:06:33	9
1016	155	2015-05-30 04:29:07	6
